Nimeke,ISSN/NBN,"Digitoitu, avoin käyttö","Digitoitu, rajattu käyttö",Ilmestynyt vuosina,Digitointi-%,Niteitä,Sivuja,URL
Juleljus,fk20080638,1893 - 1895,,1893 - 1895,100.00 %,3,156,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20080638
Julen,fk20050984,1883,,1883,100.00 %,1,12,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050984
Julen,fk27208,1912 - 1913,,1911 - 1913,66.67 %,2,48,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk27208
Julen,fk31037,1924 - 1939,1940 - 1944,1924 - 1966,48.84 %,21,1194,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk31037
Julen : Nya Pressens Julpublikation,fk20050985,1910,,1910,100.00 %,1,20,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050985
Julen på havet och hemma,0356-1178,1923 - 1939,1940 - 1944,1923 - 2025,21.36 %,22,442,https://digi.kansalliskirjasto.fi/aikakausi/titles/0356-1178
Juletid,0356-1194,1934 - 1939,1940 - 1944,1934 - 2025,11.96 %,11,264,https://digi.kansalliskirjasto.fi/aikakausi/titles/0356-1194
Julgranen,fk27209,"1905 - 1908, 1910",,1905 - 1910,83.33 %,5,188,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk27209
Julgranen,fk32439,"1917 - 1919, 1921 - 1934",,1917 - 1934,94.44 %,17,290,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk32439
Julgransglitter : förströelseläsning för gammal och ung,fk33128,1930,,1930,100.00 %,1,12,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk33128
Julgris : fredagen den 24 december,fk20050973,1880,,1880,100.00 %,1,4,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050973
Julgrisen : tidskrift för vitter och annan idrott,fk11231,"1917, 1921 - 1939",1941,1923 - 2025,20.39 %,21,104,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk11231
Julhelgskyrkan : illustrerad jultidning för barn,fk34959,1916 - 1919,,1916 - 1919,100.00 %,4,36,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34959
Julhelsning,fk980181,"1888 - 1895, 1897 - 1903",,1888 - 1903,93.75 %,15,354,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk980181
Julhelsning från folkhögskolekursen i Lovisa : 3 oktober - 1 december 1900,fk20160053,1900,,1900 - 2025,0.79 %,1,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20160053
Julhälsning till Svenska Österbottens frihetskämpar och frontkamrater,fk31039,,1940 - 1944,1940 - 1944,100.00 %,8,384,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk31039
Julkalender,fk980476,"1887, 1889",,1887 - 1889,66.67 %,2,288,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk980476
Julklockan : bilaga till Nya budbäraren,fk20791,1912 - 1939,1940 - 1944,1912 - 1957,71.74 %,33,940,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20791
Julkvällen,fk980254,1903,,1903,100.00 %,1,20,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk980254
Jullyktan,fk11227,"1909 - 1929, 1937 - 1939",1940 - 1944,1909 - 1971,46.03 %,29,810,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk11227
Julnisse,f20090233,1891,,1891,100.00 %,1,4,https://digi.kansalliskirjasto.fi/aikakausi/titles/f20090233
Julnisse,fk20050974,1900 - 1904,,1900 - 1904,100.00 %,5,60,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050974
Julqvällen : en tidning för alla,fk20050983,"1881, 1910",,1881 - 1956,2.63 %,2,56,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050983
Julstjärnan,0781-8084,1906 - 1939,1940 - 1944,1906 - 2025,32.50 %,51,1122,https://digi.kansalliskirjasto.fi/aikakausi/titles/0781-8084
Jultidning för döfstumma = Kuuromykkäin joululehti,fk20100866,1898,,1898,100.00 %,1,20,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100866
Jultidning utgiven av Helsingfors svenska folkhögskolas elevförbund,fk20100867,1920,,1920,100.00 %,1,12,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100867
Jultjuguettan,fk20100414,,1943,1943,100.00 %,1,12,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100414
Jultomten : tidning för barn,fk980706,1887,,1887,100.00 %,1,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk980706
Jumalan pasuna,fk31041,,1940 - 1941,1940 - 1941,100.00 %,2,44,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk31041
Jumalan valtakunta,fk00633,,1940 - 1942,1940 - 1945,50.00 %,62,996,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00633
Juna,fk10139,1906 - 1917,,1906 - 1918,92.31 %,429,1731,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10139
Juniorens jul : juniortidningen Framåts julnummer,fk11228,,1944,1944 - 1965,4.55 %,1,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk11228
Juniorsignaler,fk32464,1937 - 1938,,1937 - 1938,100.00 %,2,38,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk32464
Jupakan tiedoituslehti,fk20210161,,1944,1944,100.00 %,1,2,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20210161
Juridiska föreningens i Finland tidskrift,0040-6953,"1870 - 1878, 1880 - 1892, 1894 - 1939",1940 - 1944,1865 - 2025,45.34 %,274,46199,https://digi.kansalliskirjasto.fi/aikakausi/titles/0040-6953
Juridiska föreningens i Finland tidskrift,fk04050,1865 - 1868,,1865 - 1869,80.00 %,4,1066,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk04050
Juridiska meddelanden : notiser från rätts- och affärslifvet,fk00639,"1901, 1903 - 1906",,1901 - 1906,83.33 %,102,816,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00639
Jurvan Sanomat,0782-6427,,2015 - 2024,1976 - 2025,20.00 %,505,6480,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0782-6427
Juttu-tupa,fk00636,1909 - 1910,,1909 - 1910,100.00 %,40,310,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00636
Juttulehti : kerran kuukaudessa ilmestynyt kaunokirjallinen julkaisu,fk31043,,1929,1929,100.00 %,12,544,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk31043
Juupeli : koulunuorison varaventtiili,fk00640,,1942 - 1943,1942 - 1943,100.00 %,2,20,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00640
Juurikorven tehtaiden oma lehti,fk34839,"1920, 1922",,1920 - 1922,66.67 %,11,100,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34839
Juvan Lehti,0784-1663,,2016 - 2024,1956 - 2025,12.86 %,431,7456,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0784-1663
Jv. AUK : kurssijulkaisu,fk20100467,,1942 - 1944,1942 - 1952,27.27 %,3,250,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100467
Jv. Koul. K. 3,fk20100474,,1941 - 1942,1941 - 1942,100.00 %,2,36,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100474
Jyränkö,1458-0896,1890 - 1901,,1890 - 1901,100.00 %,1356,5447,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-0896
Jägar-bladet,fk20100704,1916 - 1917,,1916 - 1917,100.00 %,3,20,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100704
Jämsän Lehti,fk10143,1931 - 1939,1940 - 1952,1931 - 1952,100.00 %,1456,5966,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10143
Jämsän Sanomat,fk10144,1921 - 1930,,1921 - 1930,100.00 %,464,1938,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10144
Jämsän Seutu,1798-0968,,2016 - 2024,2009 - 2025,52.94 %,656,14132,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1798-0968
Jämsänkosken kuulumisia,fk00647,,1944,1944,100.00 %,5,20,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00647
Jännike,fk00648,1936 - 1939,,1936 - 1939,100.00 %,161,3864,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00648
Jännityskertomuksia,fk00598,1935,,1935,100.00 %,4,96,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00598
Jännityslukemisto,fk03198,1935 - 1939,1940 - 1944,1935 - 1957,43.48 %,429,10302,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk03198
Järjestönuori,fk00649,1923,,1923,100.00 %,11,224,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00649
Järviseudun Sanomat,1235-9963,,2016 - 2024,1962 - 2025,14.06 %,418,9406,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1235-9963
Järviseutu,0782-5978,1937 - 1939,"1941 - 1955, 2015 - 2024",1937 - 2025,31.46 %,1296,11438,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0782-5978
Jäsenluettelo,fk25149,"1925 - 1927, 1929 - 1939","1940 - 1942, 1944",1925 - 2025,17.82 %,36,1713,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk25149
Jäsenten lehti : Suomen teosofisen seuran julkaisu,fk32779,1930 - 1931,,1930 - 1931,100.00 %,4,64,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk32779
Jätkä,fk00653,1909,,1909,100.00 %,10,92,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00653
Jääkäri : Savon jääkärirykmentin julkaisu,fk00654,1935 - 1939,,1935 - 1939,100.00 %,43,278,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00654
Jääkäri-invaliidi,fk31052,1928 - 1939,,1928 - 1939,100.00 %,12,1594,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk31052
Jääkärin joulu,fk20100611,,1942 - 1943,1942 - 1943,100.00 %,2,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100611
K. J. Gummerus O.Y:n kirjaluettelot,fk20050495,"1920, 1924, 1928, 1932, 1936, 1939",,1883 - 1939,10.53 %,6,870,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050495
KD,1795-9535,,2016 - 2023,2005 - 2025,38.10 %,83,2788,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1795-9535
KKR aliupseerioppilaan joulu : kymmenvuotis-julkaisu,fk20100506,1932,,1932,100.00 %,1,32,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100506
"KMV-lehti : Kuoreveden, Mäntän, Vilppulan ja Juupajoen puolueeton paikallislehti",1795-715X,,2017 - 2024,2005 - 2025,38.10 %,772,15188,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1795-715X
KS keskiviikko,2489-4869,,2017 - 2024,2017 - 2025,88.89 %,389,11896,https://digi.kansalliskirjasto.fi/sanomalehti/titles/2489-4869
KTR 3:n reservialiupseerikoulun julkaisu,fk20100453,1936 - 1939,,1937 - 1939,100.00 %,14,496,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100453
Kaak,fk00656,1906,,1906,100.00 %,3,48,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00656
Kaakkois-Kannas,fk10146,1939,,1939,100.00 %,40,162,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10146
Kaakon vartio : Käkisalmen suojeluskunta- ja lottapiirin lehti,fk00657,,1943 - 1944,1943 - 1944,100.00 %,16,396,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00657
Kaakonkulma,1236-8865,,2017 - 2024,1968 - 2025,13.79 %,404,5324,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1236-8865
Kaaperi : iloisen mielialan edustaja,fk20050784,1902,,1902,100.00 %,1,4,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050784
Kaarina,0784-2465,,2017 - 2024,1985 - 2025,19.51 %,397,9416,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0784-2465
Kaartilainen : Suomen valkoisen kaartin oma lehti,fk00658,1932 - 1939,,1932 - 1939,100.00 %,86,1296,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00658
Kaasutorjunta : Suomen kaasusuojelujärjestön julkaisu,fk02863,1933 - 1939,,1933 - 1939,100.00 %,37,1396,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02863
Kadetti : Kadettioppilaskunnan vuosijulkaisu,fk31054,,"1941, 1943",1941 - 1943,66.67 %,2,232,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk31054
Kaikille,fk03211,1907 - 1939,1940 - 1944,1908 - 2025,32.20 %,881,3540,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk03211
Kaikille luoduille : lähetysasiaa valaiseva aikakauskirja,fk00659,1936 - 1939,1940 - 1944,1936 - 1946,81.82 %,29,856,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00659
Kaikkien Lehti,fk10147,1925,,1925,100.00 %,18,68,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10147
Kaiku,1458-090X,1877 - 1939,1940 - 1949,1877 - 1949,100.00 %,15777,70584,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-090X
Kaikuja Hämeestä : Hämäläis-osakunnan albumi,fk31731,"1872, 1874, 1878, 1886, 1890, 1901, 1908, 1913, 1929, 1938",,1872 - 2025,6.49 %,10,2658,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk31731
Kaikuja Kajaanista,fk10149,1905 - 1916,,1905 - 1916,100.00 %,1647,6582,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10149
Kaikuja Karjalasta: joululehti ja näytenumero,fk20090711,"1896, 1908",,1896,100.00 %,2,20,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090711
Kaikuja kotoa ja kentältä : Etelä-Kymenlaakson piirijohkokunnan julkaisu,fk00662,,1943 - 1944,1943 - 1944,100.00 %,3,76,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00662
Kaima,fk20050785,1902,,1902,100.00 %,1,4,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050785
Kainuun Kansa,fk10150,1922,,1922,100.00 %,40,160,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10150
Kainuun Pienviljelijä,fk10151,1930,,1930,100.00 %,20,82,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10151
Kainuun Sanomat,0356-3502,1917 - 1939,"1940 - 1954, 2017 - 2024",1917 - 2025,42.20 %,9321,99225,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-3502
Kainuun Suunta,fk10152,1936 - 1939,,1936 - 1939,100.00 %,457,2819,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10152
Kainuun Työmies,fk10153,1922 - 1923,,1922 - 1923,100.00 %,84,340,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10153
Kainuun Työväen Lehti,fk10154,1920 - 1921,,1920 - 1921,100.00 %,45,182,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10154
Kainuun joulu,fk11260,"1928 - 1929, 1934 - 1938",,1928 - 1968,17.07 %,7,200,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk11260
Kainuun sissi,fk00664,1924 - 1939,1940 - 1944,1924 - 1944,100.00 %,214,6538,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00664
Kairan kaiku,fk20100623,,1943 - 1944,1943 - 1944,100.00 %,3,14,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100623
Kaisa : Helsingfors tivoli nyheter,fk20090674,1929,,1929,100.00 %,1,12,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090674
Kaisa : Helsingin Tivolin uutiset,fk20090675,1929,,1929,100.00 %,1,12,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090675
Kaiun joululehti,fk20050975,1906,,1906,100.00 %,1,36,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050975
Kaiutin,fk00668,,1944,1944,100.00 %,1,20,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00668
Kajaani,fk10155,1922 - 1939,1940 - 1955,1922 - 1966,75.56 %,5111,21717,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10155
Kajaanin Kaiku,fk10156,1916 - 1919,,1916 - 1919,100.00 %,211,858,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10156
Kajaanin Lehti,fk10157,1899 - 1920,,1899 - 1920,100.00 %,2943,11626,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10157
Kajaanin Uutiset,fk10158,1921 - 1922,,1921 - 1922,100.00 %,272,1100,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10158
Kakkosen mosuri : [1]591/2 Kpk:n miesten oma lehti,fk31064,,1941,1941,100.00 %,9,40,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk31064
Kalajokilaakso,0784-364X,1927 - 1939,"1940 - 1955, 2017 - 2024",1927 - 2025,37.37 %,5268,42140,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0784-364X
Kalajokiseutu / julkaisija: Keski-Pohjanmaan kirjapaino oy,2242-5675,,2016 - 2024,2012 - 2025,64.29 %,461,11912,https://digi.kansalliskirjasto.fi/sanomalehti/titles/2242-5675
Kalastaja : kalataloudellinen kuukauslehti,fk00674,1911 - 1913,,1911 - 1913,100.00 %,32,688,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00674
Kale,2343-2322,,2015 - 2019,2015 - 2025,45.45 %,212,4208,https://digi.kansalliskirjasto.fi/sanomalehti/titles/2343-2322
Kale-lehti,fk00676,,1943,1943 - 1949,14.29 %,1,4,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00676
Kalender för byggnadstekniker,fk34963,1917 - 1921,,1916 - 1920,100.00 %,5,1424,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34963
Kalender för praktisk byggnadsverksamhet,fk31068,1929 - 1939,1940 - 1944,1928 - 1943,100.00 %,16,8590,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk31068
Kaleva,0356-1356,1899 - 1939,"1940 - 1954, 2015 - 2024",1899 - 2025,51.97 %,19928,266618,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-1356
Kaleva : Försäkringsaktiebolaget Kalevas meddelanden till de försäkrade,fk20090620,1912 - 1917,,1912 - 1917,100.00 %,6,76,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090620
Kaleva : meddelanden till Kalevas agenter,fk03215,1908 - 1939,1940 - 1944,1908 - 1975,54.41 %,292,6840,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk03215
Kaleva : tietoja Kalevan asiamiehille,0356-3375,1908 - 1939,1940 - 1944,1908 - 2025,31.36 %,303,7632,https://digi.kansalliskirjasto.fi/aikakausi/titles/0356-3375
Kaleva : vakuutusosakeyhtiö Kalevan tiedonantoja vakuutetuilleen,fk20090619,"1912, 1914 - 1917",,1912 - 1917,83.33 %,5,68,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090619
Kalevainen : Kalevan naisten ja Kalevan ritarien äänenkannattaja,fk20110627,1915 - 1923,1924 - 1925,1915 - 1925,100.00 %,110,1220,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110627
Kalevainen : Kalevan ritarien ja Kalevan naisten Kalevalapäivän juhlajulkaisu,0732-2216,"1913 - 1915, 1923",1924 - 1977,1913 - 2025,51.33 %,58,5254,https://digi.kansalliskirjasto.fi/aikakausi/titles/0732-2216
Kalevaiset,fk00677,1914,,1914,100.00 %,2,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00677
Kalevan Kaiku,fk32021,1890 - 1894,,1890 - 1894,100.00 %,323,1301,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk32021
Kalevan heimo,fk00678,1936,,1936,100.00 %,1,36,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00678
Kalevan kansa : kansallinen kuukausilehti,fk20110196,,1931 - 1933,1931 - 1933,100.00 %,7,152,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110196
Kalevan kansan joulu,fk36278,1908 - 1910,,1908 - 1910,100.00 %,3,82,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk36278
Kalevan kontio : II:n pataljoonan asevelilehti,fk00679,,1941,1941,100.00 %,11,100,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00679
Kalevan viikkolehti : ilmoituksia Kalevan kansanvakuutusmiehille,fk00680,1912 - 1936,,1912 - 1936,100.00 %,1114,4612,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00680
Kalevatar,fk00682,1894 - 1896,,1894 - 1896,100.00 %,17,148,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00682
Kalikoita,fk20050786,1899,,1899,100.00 %,1,12,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050786
Kallio-lehti : Kallion ja ympäristön kaupunginosalehti,2489-8562,,2015 - 2021,2013 - 2025,53.85 %,145,3128,https://digi.kansalliskirjasto.fi/sanomalehti/titles/2489-8562
Kamera : Suomen kameraseurojen liiton ry. äänenkannattaja,fk00684,,1943,1943,100.00 %,4,32,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00684
Kameran lastuja,fk00685,1929,,1929,100.00 %,16,248,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00685
Kaminan sytyke : 1544:n korsujulkaisu,fk20100432,,1942,1942,100.00 %,1,4,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100432
Kamrat!,fk00686,1906 - 1908,,1906 - 1908,100.00 %,8,104,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00686
Kamraten : illustrerad tidning för Sveriges ungdom,fk20090697,1897 - 1900,,1893 - 1911,21.05 %,93,1628,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090697
Kamraten : organ för Svenska normallycei kamratskap,fk03218,1916 - 1919,,1916 - 1969,7.41 %,17,192,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk03218
Kanadan joulu : Kanadan kansallismielisten suomalaisten liiton joulujulkaisu,fk20110120,,"1935, 1938",1938,100.00 %,2,80,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110120
Kananhoitaja,fk00689,1908,,1908,100.00 %,12,84,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00689
Kanawa,1457-4446,1845 - 1847,,1845 - 1847,100.00 %,153,633,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4446
Kanerva,fk00690,1900 - 1906,,1900 - 1906,100.00 %,112,2092,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00690
Kanervan sanomat,fk20100471,,1940,1940,100.00 %,8,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100471
Kangasalan Sanomat,0782-596X,1918 - 1939,"1940 - 1955, 2017 - 2024",1918 - 2025,42.59 %,2336,20928,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0782-596X
Kangaskauppias : Suomen kangas- ja lyhyttavarakauppiaitten liitto ry:n virallinen äänenkannattaja,fk04028,1936 - 1939,1940 - 1944,1936 - 1951,56.25 %,56,1232,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk04028
Kangasniemen Kunnallislehti,0782-6354,,2016 - 2024,1953 - 2025,12.33 %,456,6796,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0782-6354
Kaniininkasvattajat r.y:n kaniinipalsta,fk00694,,1943 - 1944,1943 - 1949,28.57 %,15,132,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00694
Kaninuppfödare r.f:s kaninspalt,fk00695,,1943,1943 - 1947,20.00 %,6,56,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00695
Kankaanpää,fk10160,1939,,1939,100.00 %,39,156,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10160
Kankaanpään Sanomat,fk11275,1939,1940 - 1950,1939 - 1983,26.67 %,577,2204,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk11275
Kankaanpään Seutu,0355-8754,,2016 - 2024,1968 - 2025,15.52 %,834,17844,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0355-8754
Kannaksen Lehti,fk10161,1928 - 1938,,1928 - 1938,100.00 %,746,3022,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10161
Kannaksen Sanomat,fk10162,1926 - 1927,,1926 - 1927,100.00 %,43,178,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10162
Kannaksen joulu : Käkisalmen sanomain joululehti,fk34649,"1913 - 1914, 1916, 1920 - 1933, 1935",,1913 - 1935,78.26 %,18,538,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34649
Kannaksen joulukirkko : Äyräpään rovastikunnan joululehti,fk31736,1937 - 1938,1940,1937 - 1940,75.00 %,3,108,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk31736
